5.069693353078354266e+05	1.759800955483948346e+05
8.020732395709808916e+05	3.204782430641821120e+05
6.047430500096330652e+05	5.728243513011980103e+05
8.598893350623715669e+05	5.463558860901826993e+05
2.433993092198708327e+05	8.478764018984871218e+05
6.723641672232662095e+05	8.626581853378609521e+05
3.985825765135783586e+05	4.053154350928098429e+05
3.201666923768988927e+05	1.620235401804909925e+05
1.381641046183367143e+05	5.578011315278369002e+05
4.164009005950368010e+05	7.874956202927656705e+05
6.178813047082280973e+05	3.985651187958209193e+05
8.524319816933806287e+05	1.563803496455039713e+05
3.367541795869697817e+05	5.620022427799102152e+05
1.679921156702920562e+05	3.469580264989362913e+05
8.226433720800174633e+05	7.320459251914657652e+05
